# corpus-wide term-usage Pareto over all 32 class corpora (14M text)
# generated by scripts/term-pareto.sh products/*/*/

RANK  COUNT    CUM%    TERM
934   31       96.0    sram
935   31       96.0    spatial locality
936   31       96.0    proof by cases
937   31       96.0    polarization
938   31       96.0    partial order
939   31       96.1    nondeterministic assignment
940   31       96.1    mutual exclusion
941   31       96.1    memory layout
942   31       96.1    instruction selection
943   31       96.1    extensional equivalence
944   31       96.1    data analysis
945   31       96.1    critical edge
946   31       96.1    avl tree
947   31       96.1    alias analysis
948   30       96.1    type constructor
949   30       96.1    reflection
950   30       96.1    recursive backtracking
951   30       96.1    percolate up
952   30       96.2    opaque
953   30       96.2    line-based processing
954   30       96.2    global common subexpression elimination
955   30       96.2    fresh variable
956   30       96.2    destinations
957   29       96.2    type class
958   29       96.2    treenode
959   29       96.2    treemap
960   29       96.2    runtime monitor
961   29       96.2    regular language
962   29       96.2    np-complete
963   29       96.2    letcc
964   29       96.2    if statement
965   29       96.3    fuzzing
966   29       96.3    function pointer
967   29       96.3    fopen
968   29       96.3    context switch
969   28       96.3    whyml
970   28       96.3    vptr
971   28       96.3    soundness and completeness
972   28       96.3    socket address
973   28       96.3    resizing
974   28       96.3    recursive definition
975   28       96.3    primitive types
976   28       96.3    pack
977   28       96.3    overloading
978   28       96.4    order by
979   28       96.4    minimum spanning tree
980   28       96.4    lr parsing
981   28       96.4    logical contract
982   28       96.4    leader
983   28       96.4    index-based selection
984   28       96.4    hybrid processing
985   28       96.4    datatype declaration
986   28       96.4    cross product
987   28       96.4    constant folding
988   28       96.4    bytecode
989   27       96.4    valgrind
990   27       96.4    type error
991   27       96.4    swapping
992   27       96.5    resource semantics
993   27       96.5    proxy
994   27       96.5    preheader
995   27       96.5    pixel
996   27       96.5    natural loop
997   27       96.5    miss rate
998   27       96.5    merge sort
999   27       96.5    lifo
1000  27       96.5    lalr
1001  27       96.5    jump table
1002  27       96.5    instanceof
1003  27       96.5    external choice
1004  27       96.5    dominator tree
1005  27       96.5    cut formula
1006  27       96.5    client-server
1007  27       96.6    case expression
1008  27       96.6    built-in function
1009  27       96.6    buffer pool
1010  27       96.6    boolean algebra
1011  27       96.6    binomial theorem
1012  27       96.6    application binary interface
1013  27       96.6    accepting state
1014  26       96.6    tree method
1015  26       96.6    system f
1016  26       96.6    solver-aided tool
1017  26       96.6    serial schedule
1018  26       96.6    proof by contradiction
1019  26       96.6    principle of inclusion-exclusion
1020  26       96.6    nondeterministic choice
1021  26       96.7    modularity
1022  26       96.7    event handler
1023  26       96.7    dirty read
1024  26       96.7    clustering
1025  26       96.7    case analysis
1026  26       96.7    bit vector
1027  25       96.7    treeset
1028  25       96.7    speedup
1029  25       96.7    solver-aided programming
1030  25       96.7    software architecture
1031  25       96.7    quality attributes
1032  25       96.7    phantom read
1033  25       96.7    model monitor
1034  25       96.7    llvm ir
1035  25       96.7    isinstance
1036  25       96.7    intractable
1037  25       96.8    internal choice
1038  25       96.8    identity rule
1039  25       96.8    goal stack
1040  25       96.8    elf
1041  25       96.8    edge cases
1042  25       96.8    congruence relation
1043  25       96.8    conflict serializability
1044  25       96.8    code quality
1045  25       96.8    classification
1046  25       96.8    clash
1047  25       96.8    checklist
1048  24       96.8    visitor pattern
1049  24       96.8    temporal locality
1050  24       96.8    tail call
1051  24       96.8    stride
1052  24       96.9    short-circuiting
1053  24       96.9    relational model
1054  24       96.9    observable
1055  24       96.9    nested collections
1056  24       96.9    natural join
1057  24       96.9    model-view-controller
1058  24       96.9    loading
1059  24       96.9    let expression
1060  24       96.9    jdbc
1061  24       96.9    http request
1062  24       96.9    fuel
1063  24       96.9    exceptional control flow
1064  24       96.9    curried function
1065  24       96.9    continuous dynamics
1066  24       96.9    cold
1067  24       96.9    canonical forms
1068  24       97.0    calloc
1069  24       97.0    calling conventions
1070  24       97.0    base type
1071  24       97.0    axiomatic semantics
1072  24       97.0    assertequals
1073  24       97.0    adapter
